prodId,prodCode,prodCost,prodGst,prodDisc
1,PAPER,10.0,1.2,2.0
2,NOTEBOOK,15.0,1.8,3.0
3,PENCIL,5.0,0.6,1.0
4,ERASER,2.0,0.24,0.4
5,RULER,3.0,0.36,0.6
6,SCISSORS,8.0,0.96,1.6
7,GLUE,4.0,0.48,0.8
8,STAPLER,12.0,1.44,2.4
9,PENCIL_SHARPENER,6.0,0.72,1.2
10,PEN,200.0,24.0,40.0
11,BOOK,300.0,36.0,60.0
12,KEYBOARD,500.0,60.0,100.0
13,MOUSE,100.0,12.0,20.0
14,MONITOR,600.0,72.0,120.0
15,MOBILE,600.0,72.0,120.0
16,HEADPHONES,150.0,18.0,30.0
17,CHAIR,250.0,30.0,50.0
18,LAPTOP,800.0,96.0,160.0
19,DESK,400.0,48.0,80.0
20,PRINTER,350.0,42.0,70.0
21,USB_DRIVE,25.0,3.0,5.0
22,EXTERNAL_HDD,120.0,14.4,24.0
23,SPEAKERS,80.0,9.6,16.0
24,TABLET,200.0,24.0,40.0
25,SMARTWATCH,150.0,18.0,30.0
26,ROUTER,50.0,6.0,10.0
27,SOFTWARE_LICENSE,300.0,36.0,60.0
28,GRAPHICS_CARD,400.0,48.0,80.0
29,SERVER,1500.0,180.0,300.0
30,WEB_CAMERA,30.0,3.6,6.0
31,GAMING_MOUSE,60.0,7.2,12.0
32,GAMING_KEYBOARD,80.0,9.6,16.0
33,GAMING_MONITOR,300.0,36.0,60.0
34,GAMING_LAPTOP,1200.0,144.0,240.0
35,SD_CARD,10.0,1.2,2.0
36,BLUETOOTH_SPEAKER,70.0,8.4,14.0
37,WIRELESS_MOUSE,20.0,2.4,4.0
38,WIRELESS_KEYBOARD,40.0,4.8,8.0
39,PROJECTOR,500.0,60.0,100.0
40,CRITICAL_SOFTWARE,1000.0,120.0,200.0
41,DATA_BACKUP_SERVICE,50.0,6.0,10.0
42,CLOUD_STORAGE_SUBSCRIPTION,15.0,1.8,3.0
43,NETWORK_SWITCH,75.0,9.0,15.0
44,MOBILE_CHARGER,15.0,1.8,3.0
45,LIGHTNING_CABLE,8.0,0.96,1.6
46,HDMI_CABLE,10.0,1.2,2.0
47,POWER_STRIP,20.0,2.4,4.0
48,SCREEN_CLEANING_KIT,5.0,0.6,1.0
49,EARPHONES,15.0,1.8,3.0
50,ANTIVIRUS_LICENSE,30.0,3.6,6.0
